player_id,player_url,short_name,long_name,player_positions,overall,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_jersey_number,club_joined_date,nationality_id,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
192985,/player/192985/kevin-de-bruyne/240002,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,32,1991-06-28,181,75,10,Manchester City,13,Premier League,1,17,2015-08-30,7,Belgium,Right,72,88,94,87,65,78,15,13,5,10,13,
227203,/player/227203/alexia-putellas-segura/240002,Alexia Putellas,Alexia Putellas Segura,"CM, LW",91,29,1994/2/4,173,67,116325,Barcelona W,2222,Primera Division Women,1,11,2012/7/1,45,Spain,Left,82,90,91,92,72,78,15,17,11,15,10,
231747,/player/231747/kylian-mbappe/240002,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,24,1998-12-20,182,75,73,Paris Saint Germain,16,Ligue 1,1,7,2018-07-01,18,France,Right,97,90,80,92,36,78,13,5,7,11,6,
239085,/player/239085/erling-haaland/240002,E. Haaland,Erling Braut Haaland,ST,91,22,2000-07-21,195,94,10,Manchester City,13,Premier League,1,9,2022-07-01,36,Norway,Left,89,93,66,80,45,88,7,14,13,11,7,
158023,/player/158023/lionel-messi/240002,L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,36,1987-06-24,169,67,112893,Inter Miami,39,Major League Soccer,1,10,2023-07-16,52,Argentina,Left,80,87,90,94,33,64,6,11,15,14,8,
165153,/player/165153/karim-benzema/240002,K. Benzema,Karim Benzema,"CF, ST",90,35,1987-12-19,185,81,607,Al Ittihad,350,Pro League,1,9,2023-07-01,18,France,Right,79,88,83,87,39,78,13,11,5,5,7,
188545,/player/188545/robert-lewandowski/240002,R. Lewandowski,Robert Lewandowski,ST,90,34,1988-08-21,185,81,241,FC Barcelona,53,La Liga,1,9,2022-07-18,37,Poland,Right,75,91,80,87,44,84,15,6,12,8,10,
192119,/player/192119/thibaut-courtois/240002,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,31,1992-05-11,199,96,243,Real Madrid,53,La Liga,1,1,2018-08-09,7,Belgium,Left,,,,,,,85,89,76,90,93,46
227125,/player/227125/sam-kerr/240002,S. Kerr,Samantha May Kerr,ST,90,29,1993/9/10,168,66,116010,Chelsea W,2216,Women's Super League,1,20,2020/1/1,195,Australia,Right,85,88,74,90,42,85,7,12,8,16,13,
202126,/player/202126/harry-kane/240002,H. Kane,Harry Kane,ST,90,29,1993-07-28,188,85,21,FC Bayern München,19,Bundesliga,1,9,2023-08-12,14,England,Right,69,93,84,83,49,83,8,10,11,14,11,
227102,/player/227102/caroline-graham-hansen/240002,C. Hansen,Caroline Graham Hansen,RW,90,28,1995/2/18,178,66,116325,Barcelona W,2222,Primera Division Women,1,10,2019/7/1,36,Norway,Right,89,86,88,90,47,75,17,11,15,13,9,
241667,/player/241667/aitana-bonmati-conca/240002,Aitana Bonmatí,Aitana Bonmatí Conca,CM,90,25,1998/1/18,161,51,116325,Barcelona W,2222,Primera Division Women,1,14,2016/7/1,45,Spain,Right,81,84,83,91,75,73,9,15,11,12,14,
226301,/player/226301/alex-morgan/240002,A. Morgan,Alexandra Morgan Carrasco,ST,89,33,1989/7/2,168,62,116312,San Diego Wave W,2221,NWSL,1,13,2022/1/28,95,United States,Left,83,89,80,88,47,77,11,11,10,10,11,
190871,/player/190871/neymar-da-silva-santos-jr/240002,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,31,1992-02-05,175,68,605,Al Hilal,350,Pro League,1,10,2023-08-15,54,Brazil,Right,86,83,85,93,37,61,9,9,15,15,11,
192448,/player/192448/marc-andre-ter-stegen/240002,M. ter Stegen,Marc-André ter Stegen,GK,89,31,1992-04-30,187,85,241,FC Barcelona,53,La Liga,1,1,2014-07-01,21,Germany,Right,,,,,,,86,85,89,86,91,47
